np,genus,maj_vote,logprobs,agreement,assoc_strength_mean,m,w,n
Blödian,M,m,3.761320721700031,1.0,3.0344827586206895,33,0,0
Clown,M,m,1.5795917514424218,1.0,4.0,33,0,0
Freak,M,m,1.633314716797031,1.0,4.0,33,0,0
Nerd,M,m,1.1174711939092958,1.0,4.0,33,0,0
Snob,M,m,1.2290121171608916,1.0,4.0,33,0,0
Azubi,M,m,2.1416816863784334,1.0,4.0,33,0,0
Hippie,M,m,1.5828818574918841,1.0,3.9696969696969697,33,0,0
Laie,M,m,2.537338032871048,1.0,3.9565217391304346,33,0,0
Urahne,M,m,2.0113914402609225,1.0,4.0,33,0,0
Ausnahmetalent,N,m,1.4870654662045126,1.0,4.0,33,0,0
Original,N,m,3.380687061311619,1.0,4.0,33,0,0
Phänomen,N,m,3.283809415046562,1.0,4.0,33,0,0
Glückskind,N,m,6.9443176561271684,1.0,4.0,33,0,0
Gör,N,m,2.6809824359734193,1.0,4.0,33,0,0
Mitglied,N,m,3.916146627312628,1.0,3.967741935483871,33,0,0
Tennis-Ass,N,m,15.81549911055481,1.0,4.0,33,0,0
Model,N,m,5.406227982552082,1.0,4.0,33,0,0
