np,genus,maj_vote,logprobs,agreement,assoc_strength_mean,m,w,n
Wunderkind,N,m,-7.047119488597787,1.0,2.0,33,0,0
Scheusal,N,n,-17.243043456028317,1.0,0.0,0,0,33
Leichtgewicht,N,n,-23.79124322783965,0.9393939393939394,0.09090909090909091,1,0,32
Kind,N,n,-3.3079437038177275,1.0,0.0,0,0,33
Talent,N,n,-5.436310311471971,1.0,0.0,0,0,33
Wesen,N,n,-8.373096551091294,1.0,0.0,0,0,33
Unschuldslamm,N,n,-19.3946909345741,1.0,0.0,0,0,33
Leitung,F,n,-13.468001364611894,0.8295454545454546,0.2727272727272727,3,0,30
Führungskraft,F,m,-0.3232180069885686,1.0,3.727272727272727,33,0,0
Hoheit,F,m,-5.206580236609923,1.0,2.909090909090909,33,0,0
Ikone,F,n,-2.8412572598463157,1.0,0.0,0,0,33
Koryphäe,F,m,-11.311500132989103,1.0,2.6363636363636362,33,0,0
Vertretung,F,n,-3.8288664579040415,1.0,0.0,0,0,33
Klatschbase,F,w,-0.3850886809732401,1.0,4.0,0,33,0
Haushaltshilfe,F,w,-0.5691922547905506,1.0,4.0,0,33,0
Ahne,M,m,-1.6218777347153548,1.0,3.8181818181818183,33,0,0
Gangster,M,m,-0.15435188722258886,1.0,4.03030303030303,33,0,0
Gast,M,n,-7.43860235264583,1.0,0.0,0,0,33
Geizhals,M,m,-2.4985195127248687,1.0,2.4545454545454546,33,0,0
Kauz,M,n,-17.750057662008807,0.5416666666666666,1.0,11,0,22
Portier,M,m,-0.2914081679713547,1.0,3.515151515151515,33,0,0
Zögling,M,n,-8.347355865240388,1.0,0.0,0,0,33
Fratz,M,n,-28.795398685137116,1.0,0.0,0,0,33
Mensch,M,n,-10.643640140517164,1.0,0.0,0,0,33
Newbie,M,n,-7.476620354998886,1.0,0.0,0,0,33
Influencer,M,w,-0.7680869199357403,1.0,4.0,0,33,0
Popstar,M,n,-19.07995995561032,1.0,0.0,0,0,33
Gegenüber,N/M,n,-2.6045430977410433,1.0,0.0,0,0,33
Monster,N,n,-7.4401285507992725,1.0,0.0,0,0,33
Tier,N,n,-4.045516125159338,1.0,0.0,0,0,33
Unikum,N,n,-2.7194848109757004,1.0,0.0,0,0,33
Laufwunder,N,n,-30.011512126714422,0.5909090909090908,0.8181818181818182,9,0,24
Schlitzohr,N,m,-0.8531357560116177,1.0,3.515151515151515,33,0,0
Individuum,N,n,-8.985877412302216,1.0,0.0,0,0,33
Nachwuchstalent,N,n,-6.693815895701846,1.0,0.0,0,0,33
Vorbild,N,n,-6.578517370387999,1.0,0.0,0,0,33
Mannequin,N,w,-0.6991205114718468,1.0,4.0,0,33,0
Memme,F,m,-0.9397007115674114,1.0,4.0,33,0,0
Aushilfe,F,n,-3.9563119399226707,1.0,0.0,0,0,33
Majestät,F,m,-3.673435776742153,1.0,3.9696969696969697,33,0,0
Person,F,n,-15.31061203473655,1.0,0.0,0,0,33
Waise,F,n,-4.8243583233961544,1.0,0.0,0,0,33
Bedienung,F,w,-8.24629872829587,1.0,3.121212121212121,0,33,0
Geisel,F,n,-4.1001352664006845,1.0,0.0,0,0,33
Bankier,M,m,-0.12822670714140827,1.0,4.0,33,0,0
Feigling,M,m,-0.39716197572121814,1.0,3.3333333333333335,33,0,0
Filmstar,M,n,-27.321860382656254,0.8825757575757577,0.18181818181818182,0,2,31
Flüchtling,M,n,-8.619827515945872,1.0,0.0,0,0,33
Insasse,M,n,-3.7354626025553443,1.0,0.0,0,0,33
Lehrling,M,m,-3.4979820260206225,1.0,2.0,33,0,0
Neuzugang,M,n,-2.2423445788208483,1.0,0.0,0,0,33
Fan,M,n,-17.82141550349661,1.0,0.0,0,0,33
Superstar,M,n,-13.794315939809167,1.0,0.0,0,0,33
Teenager,M,n,-5.653414570264431,1.0,0.0,0,0,33
Rotschopf,M,w,-12.475544586614433,1.0,2.0303030303030303,0,33,0
Oberhaupt,N,m,-0.8662789018716808,1.0,3.1515151515151514,33,0,0
Genie,N,m,-0.8056454726005171,1.0,4.0,33,0,0
Aushängeschild,N,n,-2.4567630677702255,1.0,0.0,0,0,33
Ekel,N,n,-3.298213579028925,1.0,0.0,0,0,33
Idol,N,n,-13.281592923807693,1.0,0.0,0,0,33
Lebewesen,N,n,-6.549752033757613,1.0,0.0,0,0,33
Patenkind,N,n,-11.633144907484166,1.0,0.0,0,0,33
Geschöpf,N,n,-5.320295991966304,1.0,0.0,0,0,33
Wache,F,m,-0.2411086709842749,1.0,3.0606060606060606,33,0,0
Aushilfskraft,F,n,-4.463562926779559,1.0,0.0,0,0,33
Hilfskraft,F,n,-9.020599853150998,1.0,0.0,0,0,33
Legende,F,m,-4.62537941854292,1.0,2.909090909090909,33,0,0
Klatschtante,F,w,-0.5933720614484628,1.0,4.0,0,33,0
Schnapsdrossel,F,m,-4.065265921815573,1.0,3.3636363636363638,33,0,0
Barkeeper,M,m,-0.2821805227340164,1.0,3.303030303030303,33,0,0
Beirat,M,m,-0.28265131003483646,1.0,2.121212121212121,33,0,0
Blödian,M,n,-5.954252536335844,1.0,0.0,0,0,33
Clown,M,m,-1.3687728600440892,1.0,3.9393939393939394,33,0,0
Freak,M,m,-12.346743061872871,1.0,2.9696969696969697,33,0,0
Nerd,M,m,-0.3190624891570977,1.0,4.0,33,0,0
Snob,M,n,-23.152732290259195,0.48863636363636365,0.9696969696969697,15,0,18
Azubi,M,m,-12.594863494113142,1.0,2.0,33,0,0
Hippie,M,n,-18.590668474702397,1.0,0.0,0,0,33
Laie,M,n,-4.384814812319746,1.0,0.0,0,0,33
Urahne,M,m,-1.1540146725700424,1.0,2.5757575757575757,33,0,0
Ausnahmetalent,N,n,-10.637000274149614,1.0,0.0,0,0,33
Original,N,n,-3.9481989410560345,1.0,0.0,0,0,33
Phänomen,N,n,-4.600310870036992,1.0,0.0,0,0,33
Glückskind,N,n,-21.267222901986315,1.0,0.0,0,0,33
Gör,N,w,-11.198183648289842,1.0,4.125,0,33,0
Mitglied,N,n,-22.004148641135544,1.0,0.0,0,0,33
Tennis-Ass,N,m,-3.4442673562030848,1.0,2.878787878787879,33,0,0
Model,N,w,-1.4780281777054824,1.0,4.0,0,33,0
