"np","GPT-4o","LlaMA_70B","LlaMA_8B"
"Urahne",40.7185461430047,18.3847763108502,18.3847763108502
"Vertretung",13.490737563232,13.490737563232,40.4227658628155
"Vorbild",13.6381816969859,13.6381816969859,34.2928563989645
"Vormund",28.7054001888146,28.7054001888146,28.7054001888146
"Vorstand",12.7279220613579,12.7279220613579,12.7279220613579
"Wache",17.7200451466693,3.74165738677394,3.74165738677394
"Waise",16.062378404209,16.062378404209,32.4037034920393
"Wesen",4.89897948556636,4.89897948556636,42.4970587217516
"Wunderkind",10.6770782520313,36.0832371053374,36.0832371053374
"Zögling",29.698484809835,31.1126983722081,15.556349186104
