"","np","m_prolific","w_prolific","n_prolific","agreement_prolific","maj_vote_prolific","m_gpt4o","w_gpt4o","n_gpt4o","maj_vote_gpt4o","agreement_gpt4o","m_llama_3.1_70B","w_llama_3.1_70B","n_llama_3.1_70B","maj_vote_llama_3.1_70B","agreement_llama_3.1_70B","m_llama_3.1_8B","w_llama_3.1_8B","n_llama_3.1_8B","maj_vote_llama_3.1_8B","agreement_llama_3.1_8B"
"35","Geisel",1,5,27,0.683712121212121,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"36","Geizhals",26,0,7,0.65530303030303,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"37","Genie",15,0,18,0.488636363636364,"n",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"38","Geschöpf",4,9,20,0.439393939393939,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"39","Glückskind",1,1,31,0.880681818181818,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"40","Gör",0,26,7,0.65530303030303,"f",0,28,5,"f",0.734848484848485,0,33,0,"f",1,33,0,0,"m",1
"41","Hauptfigur",6,1,26,0.643939393939394,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"42","Haushaltshilfe",0,31,2,0.882575757575758,"f",0,33,0,"f",1,0,33,0,"f",1,0,33,0,"f",1
"43","Hilfskraft",4,11,18,0.40530303030303,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"44","Hippie",12,1,20,0.484848484848485,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"45","Hoheit",15,5,13,0.365530303030303,"m",0,30,3,"f",0.829545454545455,33,0,0,"m",1,33,0,0,"m",1
"46","Idol",9,4,20,0.439393939393939,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"47","Ikone",4,14,15,0.382575757575758,"n",0,31,2,"f",0.882575757575758,0,0,33,"n",1,33,0,0,"m",1
"48","Individuum",3,0,30,0.829545454545455,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"49","Influencer",4,13,16,0.386363636363636,"n",0,6,27,"n",0.693181818181818,0,33,0,"f",1,33,0,0,"m",1
"50","Insasse",31,0,2,0.882575757575758,"m",33,0,0,"m",1,0,0,33,"n",1,33,0,0,"m",1
"51","Jahrhunderttalent",10,1,22,0.522727272727273,"n",2,0,31,"n",0.882575757575758,33,0,0,"m",1,33,0,0,"m",1
"52","Jockey",31,0,2,0.882575757575758,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"53","Junkie",24,0,9,0.590909090909091,"m",32,0,1,"m",0.93939393939394,33,0,0,"m",1,33,0,0,"m",1
"54","Kauz",28,0,5,0.734848484848485,"m",33,0,0,"m",1,11,0,22,"n",0.541666666666667,33,0,0,"m",1
"55","Kind",2,1,30,0.825757575757576,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"56","Klatschbase",0,18,15,0.488636363636364,"f",0,33,0,"f",1,0,33,0,"f",1,0,33,0,"f",1
"57","Klatschtante",0,32,1,0.93939393939394,"f",0,33,0,"f",1,0,33,0,"f",1,33,0,0,"m",1
"58","Koryphäe",9,7,17,0.365530303030303,"n",0,0,33,"n",1,33,0,0,"m",1,33,0,0,"m",1
"59","Kultfigur",10,2,21,0.484848484848485,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"60","Laie",17,1,15,0.456439393939394,"m",11,0,22,"n",0.541666666666667,0,0,33,"n",1,33,0,0,"m",1
"61","Laufwunder",12,0,21,0.522727272727273,"n",0,0,33,"n",1,9,0,24,"n",0.590909090909091,33,0,0,"m",1
"62","Lebewesen",0,0,33,1,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"63","Legende",15,1,17,0.456439393939394,"n",0,0,33,"n",1,33,0,0,"m",1,33,0,0,"m",1
"64","Lehrkraft",3,9,21,0.471590909090909,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"65","Lehrling",24,0,9,0.590909090909091,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"66","Leichtgewicht",9,11,13,0.320075757575758,"n",0,0,33,"n",1,1,0,32,"n",0.93939393939394,33,0,0,"m",1
"67","Leitung",16,3,14,0.40530303030303,"m",5,0,28,"n",0.734848484848485,3,0,30,"n",0.829545454545455,33,0,0,"m",1
"68","Majestät",14,6,13,0.348484848484848,"m",0,0,33,"n",1,33,0,0,"m",1,33,0,0,"m",1
"69","Mannequin",8,13,12,0.325757575757576,"f",0,33,0,"f",1,0,33,0,"f",1,33,0,0,"m",1
"70","Memme",24,1,8,0.575757575757576,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"71","Mensch",4,0,29,0.78030303030303,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"72","Mitglied",4,0,29,0.78030303030303,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"73","Model",1,28,4,0.727272727272727,"f",0,33,0,"f",1,0,33,0,"f",1,33,0,0,"m",1
"74","Monster",17,0,16,0.484848484848485,"m",29,0,4,"m",0.78030303030303,0,0,33,"n",1,33,0,0,"m",1
"75","Mündel",8,3,22,0.496212121212121,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"76","Nachwuchstalent",2,3,28,0.723484848484849,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"77","Nerd",32,0,1,0.93939393939394,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"78","Nesthäkchen",5,11,17,0.380681818181818,"n",0,33,0,"f",1,0,33,0,"f",1,0,33,0,"f",1
"79","Neuzugang",8,0,25,0.621212121212121,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"80","Newbie",11,3,19,0.433712121212121,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"81","Oberhaupt",24,0,9,0.590909090909091,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"82","Opfer",6,2,25,0.598484848484849,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"83","Original",2,0,31,0.882575757575758,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"84","Passagier",17,1,15,0.456439393939394,"m",33,0,0,"m",1,0,0,33,"n",1,33,0,0,"m",1
"85","Patenkind",4,1,28,0.727272727272727,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"86","Person",2,1,30,0.825757575757576,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"87","Phänomen",2,0,31,0.882575757575758,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"88","Popstar",2,11,20,0.465909090909091,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"89","Portier",32,0,1,0.93939393939394,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"90","Racker",31,0,2,0.882575757575758,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"91","Rotschopf",4,12,17,0.393939393939394,"n",0,0,33,"n",1,0,33,0,"f",1,33,0,0,"m",1
"92","Schatz",0,11,22,0.541666666666667,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"93","Scheusal",14,5,14,0.363636363636364,"unklar",3,0,30,"n",0.829545454545455,0,0,33,"n",1,33,0,0,"m",1
"94","Schlitzohr",23,1,9,0.547348484848485,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"95","Schnapsdrossel",13,9,11,0.320075757575758,"m",12,21,0,"f",0.522727272727273,33,0,0,"m",1,33,0,0,"m",1
"96","Snob",26,0,7,0.65530303030303,"m",3,0,30,"n",0.829545454545455,15,0,18,"n",0.488636363636364,33,0,0,"m",1
"97","Spaßvogel",28,0,5,0.734848484848485,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"98","Star",2,2,29,0.772727272727273,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"99","Superstar",5,8,20,0.431818181818182,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"100","Talent",3,2,28,0.723484848484849,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"101","Teenager",9,7,17,0.365530303030303,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"102","Tennis-Ass",8,2,23,0.534090909090909,"n",0,0,33,"n",1,33,0,0,"m",1,33,0,0,"m",1
"103","Tier",7,2,24,0.56439393939394,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"104","Trotzkopf",18,1,14,0.462121212121212,"m",0,33,0,"f",1,0,0,33,"n",1,33,0,0,"m",1
"105","Unikum",2,1,30,0.825757575757576,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"106","Unschuldslamm",3,7,23,0.524621212121212,"n",0,0,33,"n",1,0,0,33,"n",1,30,3,0,"m",0.829545454545455
"107","Urahne",20,0,13,0.507575757575758,"m",0,33,0,"f",1,33,0,0,"m",1,33,0,0,"m",1
"108","Vertretung",1,9,23,0.547348484848485,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"109","Vorbild",7,4,22,0.488636363636364,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"110","Vormund",11,4,18,0.40530303030303,"n",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"111","Vorstand",24,0,9,0.590909090909091,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"112","Wache",30,1,2,0.825757575757576,"m",18,0,15,"m",0.488636363636364,33,0,0,"m",1,33,0,0,"m",1
"113","Waise",8,5,20,0.431818181818182,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"114","Wesen",2,2,29,0.772727272727273,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"115","Wunderkind",7,1,25,0.607954545454546,"n",0,0,33,"n",1,33,0,0,"m",1,33,0,0,"m",1
"116","Zögling",22,0,11,0.541666666666667,"m",1,0,32,"n",0.93939393939394,0,0,33,"n",1,33,0,0,"m",1
