"lfdn","tester","dispcode","loop","loopnumber","le_nr","le_text","L1_MFN","L2_MFN","L3_MFN","L4_MFN","L2_AssoziationSkala","L1_AssoziationSkala","L3_AssoziationSkala","L4_AssoziationSkala","duration","lastaccs","frstmail","Liste","MFN","Assoziation"
754,0,31,7579900,11,18,"Superstar",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,12,19,"Oberhaupt",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,13,6,"Scheusal",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,14,4,"Schatz",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,15,26,"Snob",-77,-77,-77,1,-77,-77,-77,4,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"m",4
754,0,31,7579900,16,21,"Lebewesen",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,17,7,"Ikone",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,18,22,"Hilfskraft",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,19,8,"Vertretung",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,20,17,"Lehrling",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,21,24,"Beirat",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,22,3,"Junkie",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,23,15,"Nachwuchstalent",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,24,14,"Individuum",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,25,13,"Schlitzohr",-77,-77,-77,1,-77,-77,-77,3,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"m",3
754,0,31,7579900,26,12,"Monster",-77,-77,-77,1,-77,-77,-77,1,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"m",1
754,0,31,7579900,27,29,"Tennis-Ass",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,28,10,"Mensch",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,29,11,"Newbie",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
755,0,31,7579884,1,14,"Geizhals",1,-77,-77,-77,-77,4,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",4
755,0,31,7579884,2,27,"Hippie",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,3,1,"Autorität",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,4,7,"Babysitter",1,-77,-77,-77,-77,3,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",3
755,0,31,7579884,5,20,"Flüchtling",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,6,15,"Fratz",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,7,29,"Model",2,-77,-77,-77,-77,4,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"w",4
755,0,31,7579884,8,28,"Mitglied",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,9,21,"Insasse",1,-77,-77,-77,-77,4,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",4
755,0,31,7579884,10,2,"Hauptfigur",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,11,18,"Majestät",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,12,4,"Assistenz",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,13,11,"Hoheit",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,14,6,"Star",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,15,19,"Geisel",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,16,22,"Neuzugang",1,-77,-77,-77,-77,2,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",2
755,0,31,7579884,17,16,"Gegenüber",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,18,3,"Fachkraft",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,19,8,"Jahrhunderttalent",1,-77,-77,-77,-77,2,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",2
755,0,31,7579884,20,23,"Ekel",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,21,10,"Wesen",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,22,5,"Fuchs",1,-77,-77,-77,-77,2,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",2
755,0,31,7579884,23,26,"Nerd",1,-77,-77,-77,-77,4,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",4
755,0,31,7579884,24,13,"Gast",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,25,9,"Wunderkind",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,26,25,"Clown",1,-77,-77,-77,-77,3,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"m",3
755,0,31,7579884,27,17,"Laufwunder",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
755,0,31,7579884,28,12,"Klatschbase",2,-77,-77,-77,-77,1,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"w",1
755,0,31,7579884,29,24,"Aushilfskraft",3,-77,-77,-77,-77,-77,-77,-77,541,"2025-04-08 10:43:54","0000-00-00 00:00:00",1,"n",NA
758,0,31,7579893,1,11,"Kind",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,2,28,"Laie",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,3,9,"Nesthäkchen",-77,-77,2,-77,-77,-77,2,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"w",2
758,0,31,7579893,4,17,"Tier",-77,-77,1,-77,-77,-77,2,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",2
758,0,31,7579893,5,27,"Azubi",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,6,4,"Racker",-77,-77,1,-77,-77,-77,3,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",3
758,0,31,7579893,7,25,"Schnapsdrossel",-77,-77,2,-77,-77,-77,2,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"w",2
758,0,31,7579893,8,13,"Koryphäe",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,9,29,"Ausnahmetalent",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,10,6,"Vormund",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,11,7,"Trotzkopf",-77,-77,1,-77,-77,-77,1,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",1
758,0,31,7579893,12,3,"Diva",-77,-77,2,-77,-77,-77,4,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"w",4
758,0,31,7579893,13,1,"Lehrkraft",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,14,23,"Aushängeschild",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,15,20,"Aushilfe",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,16,2,"Berühmtheit",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,17,14,"Ahne",-77,-77,1,-77,-77,-77,3,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",3
758,0,31,7579893,18,15,"Portier",-77,-77,1,-77,-77,-77,2,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",2
758,0,31,7579893,19,24,"Idol",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,20,5,"Spaßvogel",-77,-77,1,-77,-77,-77,3,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",3
758,0,31,7579893,21,12,"Unschuldslamm",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,22,16,"Popstar",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,23,22,"Rotschopf",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,24,26,"Barkeeper",-77,-77,1,-77,-77,-77,2,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",2
758,0,31,7579893,25,8,"Balg",-77,-77,1,-77,-77,-77,3,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"m",3
758,0,31,7579893,26,18,"Unikum",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,27,10,"Opfer",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,28,21,"Feigling",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
758,0,31,7579893,29,19,"Memme",-77,-77,3,-77,-77,-77,-77,-77,273,"2025-04-08 10:45:35","0000-00-00 00:00:00",3,"n",NA
757,0,31,7579900,1,3,"Junkie",-77,-77,-77,1,-77,-77,-77,4,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"m",4
757,0,31,7579900,2,16,"Bedienung",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,3,24,"Beirat",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,4,14,"Individuum",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,5,19,"Oberhaupt",-77,-77,-77,1,-77,-77,-77,3,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"m",3
757,0,31,7579900,6,18,"Superstar",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,7,2,"Boss",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,8,12,"Monster",-77,-77,-77,1,-77,-77,-77,3,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"m",3
757,0,31,7579900,9,6,"Scheusal",-77,-77,-77,1,-77,-77,-77,4,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"m",4
757,0,31,7579900,10,15,"Nachwuchstalent",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,11,27,"Glückskind",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,12,10,"Mensch",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,13,1,"Kultfigur",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,14,11,"Newbie",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,15,23,"Legende",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,16,5,"Ferkel",-77,-77,-77,1,-77,-77,-77,4,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"m",4
757,0,31,7579900,17,13,"Schlitzohr",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,18,8,"Vertretung",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,19,7,"Ikone",-77,-77,-77,2,-77,-77,-77,4,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"w",4
757,0,31,7579900,20,25,"Blödian",-77,-77,-77,1,-77,-77,-77,3,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"m",3
757,0,31,7579900,21,9,"Kauz",-77,-77,-77,1,-77,-77,-77,5,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"m",5
757,0,31,7579900,22,26,"Snob",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,23,22,"Hilfskraft",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,24,21,"Lebewesen",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
757,0,31,7579900,25,28,"Gör",-77,-77,-77,2,-77,-77,-77,5,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"w",5
757,0,31,7579900,26,29,"Tennis-Ass",-77,-77,-77,3,-77,-77,-77,-77,803,"2025-04-08 10:53:04","0000-00-00 00:00:00",4,"n",NA
